年,罪種,認知件数
2002,凶悪犯,12567
2003,凶悪犯,13658
2004,凶悪犯,13064
2005,凶悪犯,11360
2006,凶悪犯,10124
2007,凶悪犯,9051
2008,凶悪犯,8630
2009,凶悪犯,8392
2010,凶悪犯,7624
2011,凶悪犯,7062
2002,粗暴犯,76573
2003,粗暴犯,78759
2004,粗暴犯,76616
2005,粗暴犯,73772
2006,粗暴犯,76303
2007,粗暴犯,72908
2008,粗暴犯,69113
2009,粗暴犯,64140
2010,粗暴犯,63813
2011,粗暴犯,61897
2002,窃盗犯,2377488
2003,窃盗犯,2235844
2004,窃盗犯,1981574
2005,窃盗犯,1725072
2006,窃盗犯,1534528
2007,窃盗犯,1429956
2008,窃盗犯,1379752
2009,窃盗犯,1308378
2010,窃盗犯,1229059
2011,窃盗犯,1152492
2002,知能犯,62751
2003,知能犯,74754
2004,知能犯,99258
2005,知能犯,97500
2006,知能犯,84271
2007,知能犯,75999
2008,知能犯,73451
2009,知能犯,53222
2010,知能犯,44544
2011,知能犯,40894
2002,風俗犯,12220
2003,風俗犯,13034
2004,風俗犯,12346
2005,風俗犯,12085
2006,風俗犯,11932
2007,風俗犯,11184
2008,風俗犯,10590
2009,風俗犯,10219
2010,風俗犯,10938
2011,風俗犯,10966
2002,その他の刑法犯,312140
2003,その他の刑法犯,374087
2004,その他の刑法犯,379909
2005,その他の刑法犯,349504
2006,その他の刑法犯,333692
2007,その他の刑法犯,309738
2008,その他の刑法犯,284964
2009,その他の刑法犯,269481
2010,その他の刑法犯,248041
2011,その他の刑法犯,229640
2012,凶悪犯,7070
2013,凶悪犯,6757
2014,凶悪犯,6453
2015,凶悪犯,5618
2016,凶悪犯,5130
2017,凶悪犯,4840
2018,凶悪犯,4900
2019,凶悪犯,4706
2020,凶悪犯,4444
2021,凶悪犯,4149
2012,粗暴犯,67356
2013,粗暴犯,66494
2014,粗暴犯,65814
2015,粗暴犯,64049
2016,粗暴犯,62043
2017,粗暴犯,60099
2018,粗暴犯,59139
2019,粗暴犯,56753
2020,粗暴犯,51829
2021,粗暴犯,49717
2012,窃盗犯,1059131
2013,窃盗犯,981233
2014,窃盗犯,897259
2015,窃盗犯,807560
2016,窃盗犯,723148
2017,窃盗犯,655498
2018,窃盗犯,582141
2019,窃盗犯,532565
2020,窃盗犯,417291
2021,窃盗犯,381769
2012,知能犯,40235
2013,知能犯,43141
2014,知能犯,46027
2015,知能犯,43622
2016,知能犯,45778
2017,知能犯,47009
2018,知能犯,42594
2019,知能犯,36031
2020,知能犯,34065
2021,知能犯,36663
2012,風俗犯,11986
2013,風俗犯,12041
2014,風俗犯,11915
2015,風俗犯,11032
2016,風俗犯,10385
2017,風俗犯,9699
2018,風俗犯,9112
2019,風俗犯,8710
2020,風俗犯,7723
2021,風俗犯,7880
2012,その他の刑法犯,217389
2013,その他の刑法犯,204474
2014,その他の刑法犯,184695
2015,その他の刑法犯,167088
2016,その他の刑法犯,149636
2017,その他の刑法犯,137897
2018,その他の刑法犯,119452
2019,その他の刑法犯,109794
2020,その他の刑法犯,98879
2021,その他の刑法犯,87926
2022,凶悪犯,4437
2023,凶悪犯,5750
2024,凶悪犯,7034
2025,凶悪犯,7287
2022,粗暴犯,52701
2023,粗暴犯,58474
2024,粗暴犯,57746
2025,粗暴犯,61850
2022,窃盗犯,407911
2023,窃盗犯,483695
2024,窃盗犯,501507
2025,窃盗犯,513931
2022,知能犯,41308
2023,知能犯,50035
2024,知能犯,61986
2025,知能犯,77473
2022,風俗犯,8133
2023,風俗犯,11774
2024,風俗犯,18465
2025,風俗犯,20204
2022,その他の刑法犯,86841
2023,その他の刑法犯,93623
2024,その他の刑法犯,90941
2025,その他の刑法犯,93397
