年,罪名,認知件数
2016,殺人,895
2017,殺人,920
2018,殺人,915
2019,殺人,950
2020,殺人,929
2021,殺人,874
2022,殺人,853
2023,殺人,912
2024,殺人,970
2025,殺人,976
2016,強盗,2332
2017,強盗,1852
2018,強盗,1787
2019,強盗,1511
2020,強盗,1397
2021,強盗,1138
2022,強盗,1148
2023,強盗,1361
2024,強盗,1370
2025,強盗,1428
2016,放火,914
2017,放火,959
2018,放火,891
2019,放火,840
2020,放火,786
2021,放火,749
2022,放火,781
2023,放火,766
2024,放火,758
2025,放火,706
2016,不同意性交等,989
2017,不同意性交等,1109
2018,不同意性交等,1307
2019,不同意性交等,1405
2020,不同意性交等,1332
2021,不同意性交等,1388
2022,不同意性交等,1655
2023,不同意性交等,2711
2024,不同意性交等,3936
2025,不同意性交等,4177
2016,暴行,31813
2017,暴行,31013
2018,暴行,31362
2019,暴行,30276
2020,暴行,27637
2021,暴行,26436
2022,暴行,27849
2023,暴行,30196
2024,暴行,29250
2025,暴行,31137
2016,傷害,24365
2017,傷害,23286
2018,傷害,22523
2019,傷害,21188
2020,傷害,18963
2021,傷害,18145
2022,傷害,19514
2023,傷害,22169
2024,傷害,22292
2025,傷害,23460
2016,自動車盗,11655
2017,自動車盗,10213
2018,自動車盗,8628
2019,自動車盗,7143
2020,自動車盗,5210
2021,自動車盗,5182
2022,自動車盗,5734
2023,自動車盗,5762
2024,自動車盗,6080
2025,自動車盗,6386
2016,自転車盗,236215
2017,自転車盗,205381
2018,自転車盗,183879
2019,自転車盗,168703
2020,自転車盗,120797
2021,自転車盗,106585
2022,自転車盗,128883
2023,自転車盗,164180
2024,自転車盗,174020
2025,自転車盗,172654
2016,詐欺,40990
2017,詐欺,42571
2018,詐欺,38513
2019,詐欺,32207
2020,詐欺,30468
2021,詐欺,33353
2022,詐欺,37928
2023,詐欺,46011
2024,詐欺,57324
2025,詐欺,72532
2016,不同意わいせつ,6188
2017,不同意わいせつ,5809
2018,不同意わいせつ,5340
2019,不同意わいせつ,4900
2020,不同意わいせつ,4154
2021,不同意わいせつ,4283
2022,不同意わいせつ,4708
2023,不同意わいせつ,6096
2024,不同意わいせつ,6992
2025,不同意わいせつ,7193
