年,都道府県,認知件数,人口10万人当たり
2016,北海道,32013,597.8
2016,青森,5050,390
2016,岩手,4223,333
2016,宮城,16466,706.1
2016,秋田,2947,291.5
2016,山形,4896,439.5
2016,福島,11575,608.3
2016,東京,134619,986.5
2016,茨城,26607,914.3
2016,栃木,13253,673.1
2016,群馬,14006,711.3
2016,埼玉,69456,953
2016,千葉,57277,917.6
2016,神奈川,58127,635.1
2016,新潟,14149,618.9
2016,山梨,5070,610.1
2016,長野,10664,510
2016,静岡,22097,598.8
2016,富山,5394,508.4
2016,石川,6202,538.8
2016,福井,3645,465.5
2016,岐阜,15607,771.1
2016,愛知,70254,935.6
2016,三重,14112,780.1
2016,滋賀,9573,677
2016,京都,20479,785.2
2016,大阪,122136,1381.5
2016,兵庫,53183,962.4
2016,奈良,9307,685.9
2016,和歌山,6360,665.3
2016,鳥取,2907,510
2016,島根,3047,441
2016,岡山,12740,664.6
2016,広島,17107,602.4
2016,山口,6852,491.5
2016,徳島,3953,527.1
2016,香川,6075,624.4
2016,愛媛,9776,709.9
2016,高知,4792,664.6
2016,福岡,46619,911.8
2016,佐賀,5089,613.9
2016,長崎,4659,340.8
2016,熊本,8923,502.7
2016,大分,4054,349.5
2016,宮崎,5346,487.3
2016,鹿児島,7352,449.1
2016,沖縄,8082,560.5
2017,北海道,28160,528.8
2017,青森,4608,359.4
2017,岩手,3435,273.9
2017,宮城,14929,641.8
2017,秋田,2428,243
2017,山形,3975,360.4
2017,福島,11127,590
2017,東京,125251,909.7
2017,茨城,24809,854.9
2017,栃木,12767,650.7
2017,群馬,13105,667.6
2017,埼玉,63383,867.4
2017,千葉,52974,846.5
2017,神奈川,53628,584.6
2017,新潟,12757,562.7
2017,山梨,4617,559
2017,長野,9535,458
2017,静岡,20869,566.9
2017,富山,5330,504.7
2017,石川,5393,469.8
2017,福井,3231,414.2
2017,岐阜,14897,740.4
2017,愛知,65511,870.2
2017,三重,13346,741
2017,滋賀,8737,617.9
2017,京都,18603,714.4
2017,大阪,107023,1210.5
2017,兵庫,50821,921.5
2017,奈良,9052,671
2017,和歌山,5921,624.6
2017,鳥取,2604,460.1
2017,島根,2773,403.6
