図表：１－１－１（刑法犯認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S21,S22,S23,S24,S25,S26,S27,S28,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
認知件数（件）,1384222,1382210,1599968,1597891,1461044,1387289,1377273,1317141,1324333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口 千人当たり認知件数（件）,18.9,17.7,20,19.5,17.6,16.4,16,15.1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙件数（件）,800431,693845,808619,920855,991107,962455,931863,927012,916804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙人員（人）,442579,455097,546991,579897,607769,606686,557521,519707,503063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙率（％）,57.8,50.2,50.5,57.6,67.8,69.4,67.7,70.4,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S30,S31,S32,S33,S34,S35,S36,S37,S38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
認知件数,1435652,1354102,1354429,1353930,1382792,1378817,1400915,1384784,1377476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口千人当たり認知件数,16.1,15,14.9,14.7,14.9,14.8,14.9,14.5,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙件数,968626,842660,838210,818715,825511,841718,892547,885465,868207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙人員,515480,470522,471600,457212,454898,442527,451586,430153,425473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙率,67.5,62.2,61.9,60.5,59.7,61,63.7,63.9,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S39,S40,S41,S42,S43,S44,S45,S46,S47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
認知件数,1385358,1343625,1293877,1219840,1234198,1253950,1279787,1244168,1223546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口千人当たり認知件数,14.3,13.7,13.1,12.2,12.2,12.2,12.3,11.8,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙件数,885168,812996,756230,692913,697407,675183,710078,690027,700378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
検挙人員,449842,440563,433545,402738,393831,377826,380850,361972,348788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
