統計2-1 刑法犯の認知・検挙状況の推移（昭和27年（1952年）～令和6年）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,年次,昭和27,28,29,30,31,32,33,34,35,36,37,38
区分,,,,,,,,,,,,,
認知件数（件）,,"1,377,273","1,317,141","1,324,333","1,435,652","1,354,102","1,354,429","1,353,930","1,382,792","1,378,817","1,400,915","1,384,784","1,377,476"
検挙件数（件）,,"931,863","927,012","916,804","968,626","842,660","838,210","818,715","825,511","841,718","892,547","885,465","868,207"
検挙人員（人）,,"557,521","519,707","503,063","515,480","470,522","471,600","457,212","454,898","442,527","451,586","430,153","425,473"
検挙率（％）,,67.7,70.4,69.2,67.5,62.2,61.9,60.5,59.7,61,63.7,63.9,63
,,,,,,,,,,,,,
,年次,39,40,41,42,43,44,45,46,47,48,49,50
区分,,,,,,,,,,,,,
認知件数（件）,,"1,385,358","1,343,625","1,293,877","1,219,840","1,234,198","1,253,950","1,279,787","1,244,168","1,223,546","1,190,549","1,211,005","1,234,307"
検挙件数（件）,,"885,168","812,996","756,230","692,913","697,407","675,183","710,078","690,027","700,378","688,328","696,535","713,031"
検挙人員（人）,,"449,842","440,563","433,545","402,738","393,831","377,826","380,850","361,972","348,788","357,738","363,309","364,117"
検挙率（％）,,63.9,60.5,58.4,56.8,56.5,53.8,55.5,55.5,57.2,57.8,57.5,57.8
,,,,,,,,,,,,,
,年次,51,52,53,54,55,56,57,58,59,60,61,62
区分,,,,,,,,,,,,,
認知件数（件）,,"1,247,631","1,268,430","1,336,922","1,289,405","1,357,461","1,463,228","1,528,779","1,540,717","1,588,693","1,607,697","1,581,411","1,577,954"
検挙件数（件）,,"743,048","723,509","779,697","765,945","811,189","870,513","916,058","929,321","1,002,923","1,032,879","990,650","1,012,076"
検挙人員（人）,,"359,360","363,144","381,742","368,126","392,113","418,162","441,963","438,705","446,617","432,250","399,886","404,762"
検挙率（％）,,59.6,57,58.3,59.4,59.8,59.5,59.9,60.3,63.1,64.2,62.6,64.1
,,,,,,,,,,,,,
,年次,63,平成元,2,3,4,5,6,7,8,9,10,11
区分,,,,,,,,,,,,,
認知件数（件）,,"1,641,310","1,673,268","1,636,628","1,707,877","1,742,366","1,801,150","1,784,432","1,782,944","1,812,119","1,899,564","2,033,546","2,165,626"
検挙件数（件）,,"982,165","772,320","692,593","654,538","636,290","723,610","767,844","753,174","735,881","759,609","772,282","731,284"
検挙人員（人）,,"398,208","312,992","293,264","296,158","284,908","297,725","307,965","293,252","295,584","313,573","324,263","315,355"
検挙率（％）,,59.8,46.2,42.3,38.3,36.5,40.2,43,42.2,40.6,40,38,33.8
,,,,,,,,,,,,,
,年次,12,13,14,15,16,17,18,19,20,21,22,23
区分,,,,,,,,,,,,,
認知件数（件）,,"2,443,470","2,735,612","2,853,739","2,790,136","2,562,767","2,269,293","2,050,850","1,908,836","1,826,500","1,713,832","1,604,019","1,502,951"
検挙件数（件）,,"576,771","542,115","592,359","648,319","667,620","649,503","640,657","605,358","573,392","544,699","497,356","462,535"
検挙人員（人）,,"309,649","325,292","347,558","379,602","389,027","386,955","384,250","365,577","339,752","332,888","322,620","305,631"
検挙率（％）,,23.6,19.8,20.8,23.2,26.1,28.6,31.2,31.7,31.4,31.8,31,30.8
,,,,,,,,,,,,,
,年次,24,25,26,27,28,29,30,令和元,2,3,4,5
区分,,,,,,,,,,,,,
認知件数（件）,,"1,403,167","1,314,140","1,212,163","1,098,969","996,120","915,042","817,338","748,559","614,231","568,104","601,331","703,351"
検挙件数（件）,,"437,610","394,121","370,568","357,484","337,066","327,081","309,409","294,206","279,185","264,485","250,350","269,550"
検挙人員（人）,,"287,021","262,486","251,115","239,355","226,376","215,003","206,094","192,607","182,582","175,041","169,409","183,269"
検挙率（％）,,31.2,30,30.6,32.5,33.8,35.7,37.9,39.3,45.5,46.6,41.6,38.3
,,,,,,,,,,,,,
,年次,6,,,,,,,,,,,
区分,,,,,,,,,,,,,
認知件数（件）,,"737,679",,,,,,,,,,,
検挙件数（件）,,"287,273",,,,,,,,,,,
検挙人員（人）,,"191,826",,,,,,,,,,,
検挙率（％）,,38.9,,,,,,,,,,,
