年,分類,認知件数,被害額（円）,被害額（億円）
2016,特殊詐欺,14154,40765652881,407.65652881
2017,特殊詐欺,18212,39474870491,394.74870491
2018,特殊詐欺,17844,38286761222,382.86761222
2019,特殊詐欺,16851,31582937585,315.82937585
2020,特殊詐欺,13550,28523359039,285.23359039
2021,特殊詐欺,14498,28199462547,281.99462547
2022,特殊詐欺,17570,37081354580,370.8135458
2023,SNS型投資・ロマンス詐欺,3846,45518202985,455.18202985
2023,特殊詐欺,19038,45256436710,452.5643671
2024,SNS型投資・ロマンス詐欺,10237,127193792000,1271.93792
2024,特殊詐欺,21043,71877275370,718.7727537
2025,SNS型投資・ロマンス詐欺,15168,183433089000,1834.33089
2025,特殊詐欺,27832,142309498218,1423.09498218
