年,認知件数,人口千人当たり,検挙件数,検挙人員,検挙率,人口10万人当たり
1946,1384222,18.9,800431,442579,57.8,
1947,1382210,17.7,693845,455097,50.2,
1948,1599968,20,808619,546991,50.5,
1949,1597891,19.5,920855,579897,57.6,
1950,1461044,17.6,991107,607769,67.8,
1951,1387289,16.4,962455,606686,69.4,
1952,1377273,16,931863,557521,67.7,
1953,1317141,15.1,927012,519707,70.4,
1954,1324333,15,916804,503063,69.2,
1955,1435652,16.1,968626,515480,67.5,
1956,1354102,15,842660,470522,62.2,
1957,1354429,14.9,838210,471600,61.9,
1958,1353930,14.7,818715,457212,60.5,
1959,1382792,14.9,825511,454898,59.7,
1960,1378817,14.8,841718,442527,61,
1961,1400915,14.9,892547,451586,63.7,
1962,1384784,14.5,885465,430153,63.9,
1963,1377476,14.3,868207,425473,63,
1964,1385358,14.3,885168,449842,63.9,
1965,1343625,13.7,812996,440563,60.5,
1966,1293877,13.1,756230,433545,58.4,
1967,1219840,12.2,692913,402738,56.8,
1968,1234198,12.2,697407,393831,56.5,
1969,1253950,12.2,675183,377826,53.8,
1970,1279787,12.3,710078,380850,55.5,
1971,1244168,11.8,690027,361972,55.5,
1972,1223546,11.4,700378,348788,57.2,
1973,1190549,11,688328,357738,57.8,
1974,1211005,11,696535,363309,57.5,
1975,1234307,11,713031,364117,57.8,
1976,1247631,11,743048,359360,59.6,
1977,1268430,11.1,723509,363144,57,
1978,1336922,11.6,779697,381742,58.3,
1979,1289405,11.1,765945,368126,59.4,
1980,1357461,11.6,811189,392113,59.8,
1981,1463228,12.4,870513,418162,59.5,
1982,1528779,12.9,916058,441963,59.9,
1983,1540717,12.9,929321,438705,60.3,
1984,1588693,13.2,1002923,446617,63.1,
1985,1607697,13.3,1032879,432250,64.2,
1986,1581411,13,990650,399886,62.6,
1987,1577954,12.9,1012076,404762,64.1,
1988,1641310,13.4,982165,398208,59.8,
1989,1673268,13.6,772320,312992,46.2,
1990,1636628,13.2,692593,293264,42.3,
1991,1707877,13.8,654538,296158,38.3,
1992,1742366,14,636290,284908,36.5,
1993,1801150,14.4,723610,297725,40.2,
1994,1784432,14.3,767844,307965,43,
1995,1782944,14.2,753174,293252,42.2,
1996,1812119,14.4,735881,295584,40.6,
1997,1899564,15.1,759609,313573,40,
1998,2033546,16.1,772282,324263,38,
1999,2165626,17.1,731284,315355,33.8,
2000,2443470,19.3,576771,309649,23.6,
2001,2735612,21.5,542115,325292,19.8,
2002,2853739,22.4,592359,347558,20.8,
2003,2790136,21.9,648319,379602,23.2,
2004,2562767,20.1,667620,389027,26.1,
2005,2269293,17.8,649503,386955,28.6,
2006,2050850,16.1,640657,384250,31.2,
2007,1908836,14.9,605358,365577,31.7,
2008,1826500,14.3,573392,339752,31.4,
2009,1713832,13.4,544699,332888,31.8,
2010,1604019,12.5,497356,322620,31,
2011,1502951,11.8,462535,305631,30.8,
2012,1403167,11,437610,287021,31.2,
2013,1314140,10.3,394121,262486,30,
2014,1212163,9.5,370568,251115,30.6,
2015,1098969,8.6,357484,239355,32.5,
2016,996120,7.8,337066,226376,33.8,784.1
2017,915042,7.2,327081,215003,35.7,721
2018,817338,6.5,309409,206094,37.9,644.8
2019,748559,5.9,294206,192607,39.3,591.5
2020,614231,4.9,279185,182582,45.5,486.9
2021,568104,4.5,264485,175041,46.6,452.7
2022,601331,4.8,250350,169409,41.6,481.3
2023,703351,5.7,269550,183269,38.3,565.6
2024,737679,6,287273,191826,38.9,595.9
2025,774142,6.3,301055,200663,38.9,625.3
